Time,OH_ppm
5.04026E-05,3.111111111
0.000151852,3.111111111
0.000246087,1.555555556
0.000456232,1.555555556
0.000608406,1.555555556
0.000673527,6.222222222
0.000738454,20.22222222
0.000774364,35.77777778
0.000795717,54.44444444
0.000824219,77.77777778
0.000831079,96.44444444
0.000837971,113.5555556
0.000866441,138.4444444
0.000873205,161.7777778
0.000887118,189.7777778
0.000901224,208.4444444
0.000944283,228.6666667
0.000980386,234.8888889
0.001096232,239.5555556
0.001204928,239.5555556
0.001320902,238
0.001415105,238
0.001523865,234.8888889
0.001639871,231.7777778
0.001726892,228.6666667
0.001806667,225.5555556
0.001871916,224
0.001937166,222.4444444