T(K),10 Torr,100 Torr,300 Torr,760 Torr ,2280 Torr,7600 Torr,22800 Torr,76000 Torr
295,1.42E-14,1.41E-13,4.17E-13,1.03E-12,2.88E-12,8.03E-12,1.77E-11,3.43E-11
395,7.83E-15,7.80E-14,2.32E-13,5.78E-13,1.65E-12,4.84E-12,1.15E-11,2.52E-11
495,4.88E-15,4.87E-14,1.45E-13,3.63E-13,1.05E-12,3.17E-12,7.94E-12,1.87E-11
595,3.27E-15,3.26E-14,9.74E-14,2.44E-13,7.12E-13,2.19E-12,5.68E-12,1.42E-11
695,2.30E-15,2.30E-14,6.86E-14,1.72E-13,5.05E-13,1.58E-12,4.18E-12,1.09E-11
795,1.68E-15,1.67E-14,5.01E-14,1.26E-13,3.71E-13,1.17E-12,3.16E-12,8.50E-12
895,1.26E-15,1.25E-14,3.76E-14,9.46E-14,2.79E-13,8.88E-13,2.43E-12,6.71E-12
995,9.62E-16,9.61E-15,2.88E-14,7.26E-14,2.15E-13,6.87E-13,1.90E-12,5.36E-12
1095,7.51E-16,7.50E-15,2.25E-14,5.67E-14,1.68E-13,5.40E-13,1.51E-12,4.33E-12
1195,5.95E-16,5.94E-15,1.78E-14,4.49E-14,1.33E-13,4.30E-13,1.21E-12,3.53E-12
1295,4.77E-16,4.77E-15,1.43E-14,3.61E-14,1.07E-13,3.47E-13,9.83E-13,2.90E-12
1395,3.87E-16,3.87E-15,1.16E-14,2.93E-14,8.72E-14,2.83E-13,8.06E-13,2.40E-12
1495,3.18E-16,3.17E-15,9.51E-15,2.40E-14,7.15E-14,2.33E-13,6.66E-13,2.00E-12
1595,2.63E-16,2.62E-15,7.86E-15,1.99E-14,5.92E-14,1.93E-13,5.55E-13,1.68E-12
1695,2.19E-16,2.19E-15,6.55E-15,1.66E-14,4.94E-14,1.61E-13,4.65E-13,1.42E-12
1795,1.83E-16,1.83E-15,5.49E-15,1.39E-14,4.14E-14,1.36E-13,3.92E-13,1.21E-12
1895,1.54E-16,1.54E-15,4.63E-15,1.17E-14,3.49E-14,1.15E-13,3.32E-13,1.03E-12
1995,1.31E-16,1.31E-15,3.92E-15,9.91E-15,2.96E-14,9.72E-14,2.82E-13,8.79E-13