Time,H_ppm
4.61E-13,0.664999999
4.61E-09,0.664993112
5.07E-08,0.66492424
1.24E-07,0.664813937
2.52E-07,0.664623639
4.72E-07,0.664294871
8.54E-07,0.663724243
1.53E-06,0.662717456
2.86E-06,0.660740237
4.95E-06,0.657635663
7.05E-06,0.654545677
9.14E-06,0.651470214
1.12E-05,0.648409209
1.36E-05,0.644945374
1.60E-05,0.641500064
1.84E-05,0.638073175
2.24E-05,0.632292847
2.65E-05,0.626564925
3.05E-05,0.620888934
3.46E-05,0.615264411
4.09E-05,0.606620137
4.72E-05,0.598097459
5.35E-05,0.589694681
6.61E-05,0.573135421
7.88E-05,0.557041993
9.15E-05,0.541401367
0.000104161,0.526200898
0.000116834,0.511428307
0.000129507,0.497071653
0.000142181,0.483119314
0.000154854,0.469559982
0.000175666,0.448115679
0.000196479,0.427654861
0.000217292,0.408132708
0.000238105,0.38950642
0.000258917,0.371735121
0.00027973,0.354779775
0.000300543,0.33860311
0.000321356,0.323169542
0.000342168,0.308445095
0.000377111,0.28522977
0.000401395,0.27014353
0.000425678,0.255863549
0.000449961,0.242346875
0.000474244,0.229552831
0.000498527,0.217442911
0.000522811,0.205980657
0.000547094,0.195131536
0.000587447,0.178371104
0.000627801,0.16307459
0.000668155,0.149114398