time,Absorbance_308
9.02902E-05,0.000949893
0.000101586,0.001007698
0.000108923,0.001049906
0.000111976,0.001092783
0.000120431,0.001136973
0.000132395,0.00118092
0.000141126,0.001219504
0.000147267,0.001261445
0.000155481,0.001303998
0.000170027,0.001367336
0.000199002,0.001420844
0.000222414,0.001438568
0.000248785,0.001472492
0.000277486,0.001474673
0.000289639,0.001456621
0.000309551,0.001473628
0.000329749,0.001438018
0.000354304,0.001428277
0.000370953,0.001410496
0.000394053,0.001407796
0.000421812,0.001378433
0.000443977,0.001372434
0.000470534,0.001343181
0.000487443,0.001313862
0.000510736,0.001289481
0.000540748,0.001274721
0.000559574,0.001237209
0.000584848,0.001225647
0.000607181,0.001195467
0.000636287,0.001175284
0.000667859,0.001159786
0.000691135,0.00112856
0.000712584,0.001103172
0.000726889,0.001117372
0.00074228,0.001086621
0.000767584,0.001073072
0.000795163,0.001055827
0.000824887,0.001036012
0.000848854,0.001008643
0.000877104,0.000995489
0.000920482,0.000961965
0.000948217,0.000952096
0.000976981,0.000933215
0.001004207,0.000920599
0.001030805,0.000897188
0.001058969,0.000882948
0.001085972,0.000867087
0.001114538,0.000854776
0.001141142,0.00083824
0.00116872,0.000821176
0.001196316,0.000811445
0.001223902,0.00079741
0.001251491,0.000784668
0.001277733,0.000773823
0.001307342,0.000760673
0.001334262,0.000747909
0.001360826,0.000726959
0.001389437,0.000721235
0.001418168,0.000719463
0.001441279,0.000700992
0.001469509,0.000705855
0.001493779,0.000705262
0.001500865,0.000681221
0.001525275,0.000676396
0.001554018,0.000666502
0.001582614,0.000654737
0.001609326,0.000645658
0.0016378,0.000632763
0.001665417,0.000631652
0.001689636,0.000609802
0.001720604,0.00060966
0.001745703,0.000605794
0.001773636,0.000586905
0.001803253,0.000591981
0.001829397,0.000584716
0.001858621,0.000576167
0.001883545,0.00056075
0.001912738,0.000557071
0.001946983,0.000552595
0.001959892,0.00053263
0.001981569,0.000541073