Time,OH_ppm
6.68284E-06,54.7059847
4.86527E-06,55.94528891
1.19984E-05,51.76068803
1.57878E-05,49.14495048
1.9172E-05,47.29702599
2.44813E-05,44.79238638
2.91178E-05,42.22558985
3.30509E-05,39.77234009
3.80045E-05,37.88200309
4.36515E-05,35.7976006
4.97656E-05,32.92308901
5.16763E-05,31.40721406
5.84527E-05,31.25469574
5.99982E-05,29.27678404
6.23073E-05,27.21110376
7.21839E-05,25.33280758
7.97223E-05,23.24755888
8.57566E-05,21.30046175
9.42691E-05,19.91250044
0.000102555,18.88848994
0.000108261,17.59621192
0.000117137,16.6592712
0.000122952,14.84772393
0.000130465,14.71832946
0.000135079,12.96597387
0.000144332,13.12190789
0.000149701,11.4531354
0.000158055,11.12386798
0.000165257,10.24102682
0.000174105,9.769512039
0.000176378,8.397080483
0.000186314,8.200916543
0.000196327,7.09338719
0.000206135,5.984027999
0.000215738,5.469445724
0.000225546,6.045996585
0.000235354,4.792477981
0.000245162,5.081317551
0.00025497,4.532221493
0.000264679,4.286946051
0.000271762,3.184084111
0.000281719,3.87405841
0.000291184,2.886138746
0.000301541,2.829705481
0.000311143,3.234323893
0.000320951,2.736752602
0.000330759,2.37344658
0.000340195,2.15362011
0.000350948,1.631665444
0.000360183,2.041732386
0.00037011,1.420792082
0.00037968,0.95181432
0.000379977,-0.073340498
0.000391192,0.586836773
0.00039991,0.832530097
0.000409836,0.531820085
0.000419923,1.860079375
0.000429731,1.65407433
0.000439539,1.528365181
0.000449718,1.457358787
0.000458323,1.645639395
0.000468547,1.745185413
0.000477984,1.279710062
0.000487241,0.799778648