Time,OH_mol/cm^3
7.63689E-05,4.02547E-11
9.34025E-05,3.98703E-11
0.000113628,3.94854E-11
0.000128546,3.87197E-11
0.000149841,3.81438E-11
0.000170078,3.73772E-11
0.000187115,3.68974E-11
0.000210544,3.61303E-11
0.000229711,3.55547E-11
0.000249939,3.50744E-11
0.000270164,3.46895E-11
0.000288265,3.42096E-11
0.000311687,3.36333E-11
0.000323399,3.33452E-11
0.000340432,3.29608E-11
0.000359597,3.24807E-11
0.000387278,3.18083E-11
0.000410704,3.11367E-11
0.000439439,3.07504E-11
0.000476695,3.00766E-11
0.000518212,2.92112E-11
0.000546951,2.87295E-11
0.000572501,2.81529E-11
0.000612951,2.73831E-11
0.000654472,2.64223E-11
0.000694919,2.5748E-11
0.000720466,2.52668E-11
0.000774746,2.44948E-11