Time,O_ppm
2.22E-14,0.858
2.22E-10,0.857998275
2.44E-09,0.85798103
6.94E-09,0.857946086
1.53E-08,0.85788119
3.01E-08,0.857765935
5.61E-08,0.857564271
1.02E-07,0.857211943
1.83E-07,0.856582659
3.58E-07,0.85522674
5.33E-07,0.853872977
7.08E-07,0.852521367
8.83E-07,0.851171907
1.22E-06,0.848553421
1.56E-06,0.84594303
1.90E-06,0.843340708
2.24E-06,0.840746431
2.58E-06,0.838160173
3.24E-06,0.833220597
4.35E-06,0.824876143
5.46E-06,0.816615656
6.57E-06,0.808438283
7.69E-06,0.800343186
8.80E-06,0.792329534
9.91E-06,0.784396507
1.10E-05,0.776543291
1.21E-05,0.768769081
1.40E-05,0.755847971
1.59E-05,0.743145085
1.78E-05,0.730656725
2.09E-05,0.710227588
2.40E-05,0.690372445
2.72E-05,0.67107512
3.03E-05,0.652319897
3.34E-05,0.634091505
3.66E-05,0.616375103
3.97E-05,0.599156274
4.28E-05,0.582421005
4.81E-05,0.555301555
5.18E-05,0.537271656
5.54E-05,0.519830439
5.91E-05,0.502958638
6.27E-05,0.486637618
6.64E-05,0.470849362
7.00E-05,0.455576444
7.37E-05,0.440802012
8.05E-05,0.41477446
8.72E-05,0.390293662
9.20E-05,0.373656346
9.69E-05,0.357733282
0.000104661,0.333496209
0.000112454,0.310913705
0.000120246,0.289872678
0.000128038,0.270267778
0.00013583,0.252000865
0.000143622,0.234980525
0.000151414,0.219121604
0.000159207,0.204344779
0.000166999,0.190576151