Time,CO_ppm,Relative_Uncertaint,W
2.0205E-05,180.9358752,.05,.218
2.59151E-05,226.6897747,.05,.218
3.46999E-05,299.4800693,.05,.218
4.30454E-05,361.8717504,.05,.218
5.18302E-05,436.7417678,.05,.218
6.19327E-05,497.0537262,.05,.218
6.89605E-05,549.0467938,.05,.218
7.68668E-05,603.1195841,.05,.218
8.60908E-05,648.8734835,.05,.218
9.66325E-05,696.7071057,.05,.218
0.000108931,750.779896,.05,.218
0.000120791,786.135182,.05,.218
0.000132211,817.3310225,.05,.218
0.000142313,846.4471404,.05,.218
0.000155051,873.4835355,.05,1e-10
0.000171303,902.5996534,.05,1e-10
0.000184041,923.3968804,.05,1e-10
0.000197218,940.034662,.05,1e-10
0.000209956,954.592721,.05,1e-10
0.000224451,958.7521664,.05,1e-10
0.000237628,964.9913345,.05,1e-10
0.000251684,971.2305026,.05,1e-10
0.000261347,977.4696707,.05,1e-10
0.000274963,979.5493934,.05,1e-10
0.00028858,979.5493934,.05,1e-10