temperature,tau_s
924.4758777,0.009443771
930.1143583,0.007569659
930.5873379,0.012733317
930.8240081,0.010065153
931.7718941,0.00748007
938.220969,0.007493744
938.4615385,0.005850613
938.9430477,0.006788538
944.2724458,0.005508391
944.2724458,0.006798648
949.6626881,0.004525323
957.6138148,0.003496926
958.3660644,0.003629975
964.1728135,0.003773187
967.230444,0.003254954
970.8222812,0.002332356
972.6282222,0.002220727
975.2198241,0.003104203
977.8252738,0.002919861
981.4963797,0.00274721
984.4002152,0.001594615
987.3212841,0.001994129
991.8699187,0.001597638
1000.820345,0.001090891
1004.115226,0.001013621
1010.491441,0.000626432
1014.693651,0.000627068
1020.920502,0.000635825
1101.745936,0.000183095